Category	Category_ID	HMM_name	HMM_ID	HMM_desc
DTN	PT301	DTN-PY54	PT301005	Distal Tail siphophage Gram-Negative; E. coli phage lambda gpM
THN	PT302	THN-Lam	PT302001	Tail Hub siphophage Gram-Negative; E. coli phage lambda gpL
THN	PT302	THN-D3	PT302002	Tail Hub siphophage Gram-Negative; E. coli phage lambda gpL
THN	PT302	THN-GTA	PT302003	Tail Hub siphophage Gram-Negative; E. coli phage lambda gpL
THN	PT302	THN-MP22	PT302004	Tail Hub siphophage Gram-Negative; E. coli phage lambda gpL
THN	PT302	THN_C-GTA	PT302005	Tail Hub siphophage Gram-Negative; E. coli phage lambda gpL
THN	PT302	THN-PY54	PT302006	Tail Hub siphophage Gram-Negative; E. coli phage lambda gpL
TNLP	PT303	TNLP-Lam	PT303001	Tail NlpC domain siphophage Gram-negative; E. coli phage lambda gpK
TNLP	PT303	TNLP-PY54	PT303002	Tail NlpC domain siphophage Gram-negative; E. coli phage lambda gpK
TNLP	PT303	TNLP_N-Lam	PT303003	Tail NlpC domain siphophage Gram-negative; E. coli phage lambda gpK
THI	PT304	THI-MP22	PT304001	Tail Hub Internal siphophage Gram-negative; E. coli phage lambda gpI
THI	PT304	THI_C-Lam	PT304002	Tail Hub Internal siphophage Gram-negative; E. coli phage lambda gpI
THI	PT304	THI_N-Lam	PT304003	Tail Hub Internal siphophage Gram-negative; E. coli phage lambda gpI
CF	PT305	CF-RDJL	PT305001	Central Fibre siphophage Gram-negative; E. coli phage lambda gpJ
CF	PT305	CF-Lam-1	PT305002	Central Fibre siphophage Gram-negative; E. coli phage lambda gpJ
CF	PT305	CF-SE2	PT305003	Central Fibre siphophage Gram-negative; E. coli phage lambda gpJ
CF	PT305	CF-Lam-2	PT305004	Central Fibre siphophage Gram-negative; E. coli phage lambda gpJ
CF	PT305	CF-Lam-3	PT305005	Central Fibre siphophage Gram-negative; E. coli phage lambda gpJ
CF	PT305	CF-F10	PT305006	Central Fibre siphophage Gram-negative; E. coli phage lambda gpJ
CF	PT305	CF_N-SE2	PT305007	Central Fibre siphophage Gram-negative; E. coli phage lambda gpJ
CF	PT305	CF_N-GTA	PT305008	Central Fibre siphophage Gram-negative; E. coli phage lambda gpJ
CF	PT305	CF_Co-D3	PT305009	Central Fibre siphophage Gram-negative; CF core D3
CF	PT305	CF_Co-PY54	PT305010	Central Fibre siphophage Gram-negative; CF core PY54
DTP	PT401	DTP-SPP1	PT401001	Distal Tail siphophage Gram-Positive; Dit
DTP	PT401	DTP-D29	PT401002	Distal Tail siphophage Gram-Positive; Dit
DTP	PT401	DTP-PH10	PT401003	Distal Tail siphophage Gram-Positive; Dit
DTP	PT401	DTP-Lmo	PT401004	Distal Tail siphophage Gram-Positive; Dit
DTP	PT401	DTP-Bif	PT401005	Distal Tail siphophage Gram-Positive; Dit
THP	PT402	THP-SPP1	PT402001	Tail Hub siphophage Gram-Positive; Tal
THP	PT402	THP-A118	PT402002	Tail Hub siphophage Gram-Positive; Tal
THP	PT402	THP-FL4A	PT402003	Tail Hub siphophage Gram-Positive; Tal
THP	PT402	THP-Sfi21	PT402004	Tail Hub siphophage Gram-Positive; Tal
THP	PT402	THP-D29	PT402005	Tail Hub siphophage Gram-Positive; Tal
BH1	PT501	BH1-P2	PT501001	"Baseplate Hub 1 myophage; E. coli phages P2 gpU, Mu gp43"
BH1	PT501	BH1-Mu	PT501002	"Baseplate Hub 1 myophage; E. coli phages P2 gpU, Mu gp43"
BH1	PT501	BH1-PB1	PT501003	"Baseplate Hub 1 myophage; E. coli phages P2 gpU, Mu gp43"
BH1	PT501	BH1-CD27	PT501004	"Baseplate Hub 1 myophage; E. coli phages P2 gpU, Mu gp43"
BH1	PT501	BH1-SPO1	PT501005	"Baseplate Hub 1 myophage; E. coli phages P2 gpU, Mu gp43"
BH1	PT501	BH1-KPP10	PT501006	"Baseplate Hub 1 myophage; E. coli phages P2 gpU, Mu gp43"
BH1	PT501	BH1-K139	PT501007	"Baseplate Hub 1 myophage; E. coli phages P2 gpU, Mu gp43"
BH2	PT502	BH2-SPO1	PT502001	"Baseplate Hub 2 myophage; E. coli phages P2 gpD, Mu gp44"
BH2	PT502	BH2-PB1	PT502002	"Baseplate Hub 2 myophage; E. coli phages P2 gpD, Mu gp44"
BH2	PT502	BH2-CD27	PT502003	"Baseplate Hub 2 myophage; E. coli phages P2 gpD, Mu gp44"
BH2	PT502	BH2-K139	PT502004	"Baseplate Hub 2 myophage; E. coli phages P2 gpD, Mu gp44"
BH2	PT502	BH2-P2	PT502005	"Baseplate Hub 2 myophage; E. coli phages P2 gpD, Mu gp44"
BH3	PT503	BH3a-P2	PT503001	"Baseplate Hub 3,  type a, myophage; LysM-like domain, E. coli phage P2 gpX"
BH3	PT503	BH3a-SPO1	PT503002	"Baseplate Hub 3,  type a, myophage; LysM-like domain, E. coli phage P2 gpX"
BH3	PT503	BH3b-PB1	PT503003	"Baseplate Hub 3, type b, myophage; Location similar to BH3a, structure is different"
BH3	PT503	BH3b-Eco	PT503004	"Baseplate Hub 3, type b, myophage; Location similar to BH3a, structure is different"
BS	PT504	BS-P2	PT504001	"Baseplate Spikc myophage; at centre of baseplate, E. coli phages P2 gpV, Mu gp45, T4 gp5"
BS	PT504	BS-CD27	PT504002	"Baseplate Spikc myophage; at centre of baseplate, E. coli phages P2 gpV, Mu gp45, T4 gp5"
BS	PT504	BS-K139	PT504003	"Baseplate Spikc myophage; at centre of baseplate, E. coli phages P2 gpV, Mu gp45, T4 gp5"
BS	PT504	BS-SPO1	PT504004	"Baseplate Spikc myophage; at centre of baseplate, E. coli phages P2 gpV, Mu gp45, T4 gp5"
BS	PT504	BS-PB1	PT504005	"Baseplate Spikc myophage; at centre of baseplate, E. coli phages P2 gpV, Mu gp45, T4 gp5"
BW1	PT505	BW1-P2	PT505001	"Baseplate Wedge 1 myophage; E. coli phages P2 gpW, Mu gp46, T4 gp25"
BW1	PT505	BW1-Mu	PT505002	"Baseplate Wedge 1 myophage; E. coli phages P2 gpW, Mu gp46, T4 gp25"
BW1	PT505	BW1-SPO1	PT505003	"Baseplate Wedge 1 myophage; E. coli phages P2 gpW, Mu gp46, T4 gp25"
BW1	PT505	BW1-KPP10	PT505004	"Baseplate Wedge 1 myophage; E. coli phages P2 gpW, Mu gp46, T4 gp25"
BW1	PT505	BW1-K139	PT505005	"Baseplate Wedge 1 myophage; E. coli phages P2 gpW, Mu gp46, T4 gp25"
BW2	PT506	BW2-P2	PT506001	"Baseplate Wedge 2 myophage; E. coli phages P2 gpJ, Mu gp47, T4 gp6"
BW2	PT506	BW2-PB1	PT506002	"Baseplate Wedge 2 myophage; E. coli phages P2 gpJ, Mu gp47, T4 gp6"
BW3	PT507	BW3-P2	PT507001	"Baseplate Wedge 3 myophage; E. coli phages P2 gpI, Mu gp48, T4 gp7"
BW3	PT507	BW3-Mu	PT507002	"Baseplate Wedge 3 myophage; E. coli phages P2 gpI, Mu gp48, T4 gp7"
BW3	PT507	BW3-SPO1	PT507003	"Baseplate Wedge 3 myophage; E. coli phages P2 gpI, Mu gp48, T4 gp7"
BW3	PT507	BW3-KPP10	PT507004	"Baseplate Wedge 3 myophage; E. coli phages P2 gpI, Mu gp48, T4 gp7"
BW3	PT507	BW3-Bxz1	PT507005	"Baseplate Wedge 3 myophage; E. coli phages P2 gpI, Mu gp48, T4 gp7"
